Date,Price,Open,High,Low,Vol.,Change %
15-Dec-16,54.02,53.76,54.5,53.15,266.15K,0.22
14-Dec-16,53.9,55.16,55.81,53.52,353.97K,-3.27
13-Dec-16,55.72,55.7,56.44,55.13,283.43K,0.05
12-Dec-16,55.69,55.88,57.89,55.11,372.17K,2.5
9-Dec-16,54.33,53.97,54.46,53.77,264.80K,0.82
8-Dec-16,53.89,53.15,54.05,52.81,334.18K,1.68
7-Dec-16,53,53.94,54.23,52.92,298.57K,-1.72
6-Dec-16,53.93,54.5,54.94,53.51,280.65K,-1.84
5-Dec-16,54.94,54.4,55.33,53.77,288.55K,0.88
2-Dec-16,54.46,53.88,54.5,52.84,312.78K,0.96
1-Dec-16,53.94,51.72,54.53,51.51,460.86K,6.88
30-Nov-16,50.47,46.54,50.49,46.51,43.12K,8.82
29-Nov-16,46.38,48.07,48.1,45.92,133.11K,-3.86
28-Nov-16,48.24,46.71,48.81,46.28,207.96K,2.12
25-Nov-16,47.24,48.96,49.02,46.85,181.17K,-3.59
24-Nov-16,49,49.03,49.21,48.76,71.19K,0.1
23-Nov-16,48.95,49.2,49.5,48.56,275.29K,-0.35
22-Nov-16,49.12,49.25,49.96,48.14,436.93K,0.45
21-Nov-16,48.9,46.92,49.15,46.92,282.70K,4.35
18-Nov-16,46.86,46.05,46.99,45.75,249.34K,0.8
17-Nov-16,46.49,46.44,47.62,45.97,280.94K,-0.3
16-Nov-16,46.63,46.88,47.56,46.25,335.48K,-0.68
15-Nov-16,46.95,44.7,47.25,44.67,354.27K,5.67
14-Nov-16,44.43,44.54,44.99,43.57,260.15K,-0.72
11-Nov-16,44.75,45.8,45.89,44.19,286.71K,-2.38
10-Nov-16,45.84,46.36,46.92,45.56,302.45K,-1.12
9-Nov-16,46.36,46.04,46.95,44.4,448.12K,0.7
8-Nov-16,46.04,46.3,46.69,45.6,320.98K,-0.24
7-Nov-16,46.15,45.7,46.38,45.38,276.17K,1.25
4-Nov-16,45.58,46.43,46.56,45.08,384.56K,-1.66
3-Nov-16,46.35,47.15,47.52,45.99,283.66K,-1.09
2-Nov-16,46.86,47.9,48.02,46.46,366.82K,-2.66
1-Nov-16,48.14,48.72,49.26,47.72,462.80K,-0.33
31-Oct-16,48.3,49.41,49.72,47.98,32.21K,-2.84
28-Oct-16,49.71,50.41,50.58,49.31,94.84K,-1.51
27-Oct-16,50.47,50.05,50.9,49.83,138.09K,0.98
26-Oct-16,49.98,50.26,50.69,49.65,304.52K,-1.59
25-Oct-16,50.79,51.44,51.83,50.22,237.73K,-1.3
24-Oct-16,51.46,51.89,52.01,50.5,277.24K,-0.62
21-Oct-16,51.78,51.4,51.94,51.12,249.16K,0.78
20-Oct-16,51.38,52.6,52.72,51.17,279.31K,-2.45
19-Oct-16,52.67,52.13,53.14,52.09,292.95K,1.92
18-Oct-16,51.68,51.72,52.15,51.25,274.17K,0.31
17-Oct-16,51.52,51.93,52.29,51.16,247.03K,-0.83
14-Oct-16,51.95,52.06,52.55,51.5,248.44K,-0.15
13-Oct-16,52.03,51.6,52.15,50.92,310.65K,0.42
12-Oct-16,51.81,52.48,52.87,51.61,254.73K,-1.14
11-Oct-16,52.41,53.11,53.32,52.12,373.85K,-1.37
10-Oct-16,53.14,51.63,53.73,51.3,334.27K,2.33
7-Oct-16,51.93,52.72,52.84,51.33,310.02K,-1.1
6-Oct-16,52.51,51.76,52.75,51.32,293.87K,1.25
5-Oct-16,51.86,51.22,52.09,51.22,302.09K,1.95
4-Oct-16,50.87,50.93,51.55,50.34,269.27K,-0.04
3-Oct-16,50.89,50.02,51.14,49.74,284.26K,3.73
30-Sep-16,49.06,49.18,49.25,48.21,26.94K,-0.37
29-Sep-16,49.24,48.87,49.81,47.99,114.83K,1.13
28-Sep-16,48.69,46.14,48.96,45.7,188.67K,5.92
27-Sep-16,45.97,47.06,47.28,45.63,241.18K,-2.91
26-Sep-16,47.35,46.05,47.66,45.74,208.15K,3.18
